ticker,date,totalvol,retailvol
AAPL,10/31/2019,139162080,66841404
AAPL,11/1/2019,151125336,66801220
AAPL,11/4/2019,103271808,48468188
AAPL,11/5/2019,79897708,37370640
AAPL,11/6/2019,75864496,34429340
AAPL,11/7/2019,94940332,41489436
AAPL,11/8/2019,70081980,29507032
AAPL,11/11/2019,82029836,35906276
AAPL,11/12/2019,87388904,40191112
AAPL,11/13/2019,103270372,46181528
AAPL,11/14/2019,89582224,36841964
AAPL,11/15/2019,100374664,41042016
AAPL,11/18/2019,86803588,39669232
AAPL,11/19/2019,76278388,36697036
AAPL,11/20/2019,106439676,47226092
AAPL,11/21/2019,121395112,46582920
AAPL,11/22/2019,65325052,27700564
AAPL,11/25/2019,84118068,32442972
AAPL,11/26/2019,105339528,41949656
AAPL,11/27/2019,65544488,27925140
AAPL,11/29/2019,46617452,20440228
AAPL,12/2/2019,94774200,40079236
AAPL,12/3/2019,117509072,54863984
AAPL,12/4/2019,67241552,30521808
AAPL,12/5/2019,74645372,33456252
AAPL,12/6/2019,106189972,50090380
AAPL,12/9/2019,128730580,63247400
AAPL,12/10/2019,90529532,41458728
AAPL,12/11/2019,78893564,37805612
AAPL,12/12/2019,137748168,65884388
AAPL,12/13/2019,133731224,61341876
AAPL,12/16/2019,128324420,64013224
AAPL,12/17/2019,114303192,48916272
AAPL,12/18/2019,116098748,56787508
AAPL,12/19/2019,98507788,49562800
AAPL,12/20/2019,276130972,125272920
AAPL,12/23/2019,98711532,47407292
AAPL,12/24/2019,48478856,30338512
AAPL,12/26/2019,93336016,48075104
AAPL,12/27/2019,146371744,80123172
AAPL,12/30/2019,144238456,81819944
AAPL,12/31/2019,100990500,50806316
AAPL,1/2/2020,135647456,66465616
AAPL,1/3/2020,146535512,74416700
AAPL,1/6/2020,118578576,60763604
AAPL,1/7/2020,111510620,54874640
AAPL,1/8/2020,132363784,62772876
AAPL,1/9/2020,170486168,84999260
AAPL,1/10/2020,140869088,69874964
AAPL,1/13/2020,122086888,59837024
AAPL,1/14/2020,162613828,75252504
AAPL,1/15/2020,121923528,58357604
AAPL,1/16/2020,108829016,57888600
AAPL,1/17/2020,137816468,62567020
AAPL,1/21/2020,110843256,51109768
AAPL,1/22/2020,101832460,45802080
AAPL,1/23/2020,104471972,48623980
AAPL,1/24/2020,146537520,70826620
AAPL,1/27/2020,161940020,75965100
AAPL,1/28/2020,162233944,78723296
AAPL,1/29/2020,216599712,102492628
AAPL,1/30/2020,126743232,63140080
AAPL,1/31/2020,199588384,94881560
AAPL,2/3/2020,173985604,86555724
AAPL,2/4/2020,136616536,64133820
AAPL,2/5/2020,118826872,52582888
AAPL,2/6/2020,105425540,47794476
AAPL,2/7/2020,117684048,57767916
AAPL,2/10/2020,109348860,52959544
AAPL,2/11/2020,94323120,43412256
AAPL,2/12/2020,113730292,51115328
AAPL,2/13/2020,94747568,44561708
AAPL,2/14/2020,80113788,36335712
AAPL,2/18/2020,152762180,73562636
AAPL,2/19/2020,93983964,39597288
AAPL,2/20/2020,100565956,45418644
AAPL,2/21/2020,129705660,54549064
AAPL,2/24/2020,222195312,90526748
AAPL,2/25/2020,230673456,101202200
AAPL,2/26/2020,198713724,91987008
AAPL,2/27/2020,320605524,134709892
AAPL,2/28/2020,426884920,153795756
AAPL,3/2/2020,341397356,143614244
AAPL,3/3/2020,319475408,125872000
AAPL,3/4/2020,219178272,89085328
AAPL,3/5/2020,187572876,76531756
AAPL,3/6/2020,226176984,93995144
AAPL,3/9/2020,286744832,111968352
AAPL,3/10/2020,285290080,117935988
AAPL,3/11/2020,256379880,108977640
AAPL,3/12/2020,418474068,150893444
AAPL,3/13/2020,370732128,141915720
AAPL,3/16/2020,322423460,124072176
AAPL,3/17/2020,324055860,136147240
AAPL,3/18/2020,300233624,122701756
AAPL,3/19/2020,271857020,107021832
AAPL,3/20/2020,401693384,127747372
AAPL,3/23/2020,336752832,157272656
AAPL,3/24/2020,287531092,124433144
AAPL,3/25/2020,303602040,140900212
AAPL,3/26/2020,252560676,115039348
AAPL,3/27/2020,204216612,92334476
AAPL,3/30/2020,167976440,82464684
AAPL,3/31/2020,197002004,97906832
AAPL,4/1/2020,176218552,82501464
AAPL,4/2/2020,165933972,76799168
AAPL,4/3/2020,129880068,64287184
AAPL,4/6/2020,201820284,82509952
AAPL,4/7/2020,202887324,102719320
AAPL,4/8/2020,168895284,83047980
AAPL,4/9/2020,162116492,78422600
AAPL,4/13/2020,131022924,65073180
AAPL,4/14/2020,194994688,95349012
AAPL,4/15/2020,131154564,68016096
AAPL,4/16/2020,157125160,75987068
AAPL,4/17/2020,215249912,97551948
AAPL,4/20/2020,130015000,62443080
AAPL,4/21/2020,180991572,80752584
AAPL,4/22/2020,117057368,57625392
AAPL,4/23/2020,124814328,58344696
AAPL,4/24/2020,126508732,61948352
AAPL,4/27/2020,117087572,59853596
AAPL,4/28/2020,112004748,55197036
AAPL,4/29/2020,137280816,68053276
AAPL,4/30/2020,183063872,77583252
