date,ticker,open,close,high,low,vol
2/7/2021,AMZN,3451.63989,3510.97998,3511.71997,3436.91992,3173113
6/7/2021,AMZN,3530.11011,3675.73999,3685.47998,3529,6710663
7/7/2021,AMZN,3717.37695,3696.58008,3734.19995,3678.90991,5314936
8/7/2021,AMZN,3643.56006,3731.40991,3759.9856,3621.12012,5142825
9/7/2021,AMZN,3722.52002,3719.34009,3748,3693.39673,3717673
12/7/2021,AMZN,3744,3718.55005,3757.28979,3696.79297,2557394
13/07/2021,AMZN,3702.1001,3677.36011,3773.07813,3671.32007,3831743
14/07/2021,AMZN,3708.8501,3681.67993,3717.65991,3660.82666,3293060
15/07/2021,AMZN,3694.19995,3631.19995,3695.3999,3620.91992,3178069
16/07/2021,AMZN,3633.31006,3573.62988,3646.05981,3570.45508,4034830
19/07/2021,AMZN,3532.58008,3549.59009,3550.20996,3499.15991,3774821
20/07/2021,AMZN,3567.32007,3573.18994,3592,3518,3247987
21/07/2021,AMZN,3576.375,3585.19995,3586.44995,3543.6416,2314461
22/07/2021,AMZN,3587.22998,3638.03003,3640.02002,3582.27002,3256940
23/07/2021,AMZN,3640,3656.63989,3666.11011,3622.04004,2428363
26/07/2021,AMZN,3673.16992,3699.82007,3712.08008,3647.25,2887448
27/07/2021,AMZN,3698.5,3626.38989,3698.5,3586.1499,4102161
28/07/2021,AMZN,3633.78003,3630.32007,3658.42041,3601,2993987
29/07/2021,AMZN,3627.75,3599.91992,3637.94995,3580.01001,5525232
30/07/2021,AMZN,3347.94995,3327.59009,3368.13989,3306.97998,9897618
2/8/2021,AMZN,3353.1001,3331.47998,3358.91992,3317,3338747
3/8/2021,AMZN,3340.71997,3366.23999,3391,3299.77002,4147857
4/8/2021,AMZN,3379.3501,3354.71997,3388.87988,3345.56006,2180361
5/8/2021,AMZN,3356.21997,3375.98999,3389,3340.91992,2454233
6/8/2021,AMZN,3375,3344.93994,3375,3329.03735,2633219
9/8/2021,AMZN,3343.61011,3341.87012,3354.87988,3328.52002,2125678
10/8/2021,AMZN,3345.01001,3320.67993,3358,3315,2393352
11/8/2021,AMZN,3331.44702,3292.11011,3337.69995,3277.79004,2941126
12/8/2021,AMZN,3290,3303.5,3314.51001,3269.66992,2311205
13/08/2021,AMZN,3305.66992,3293.96997,3306.06494,3283,2049481
16/08/2021,AMZN,3283,3298.98999,3300,3211.12988,3303310
17/08/2021,AMZN,3277.5,3241.95996,3280.48999,3225.67993,3373717
18/08/2021,AMZN,3241.98999,3201.21997,3254.09741,3200,3023330
19/08/2021,AMZN,3194.02002,3187.75,3233,3182.46362,3749283
20/08/2021,AMZN,3203.87305,3199.94995,3207.81006,3175.76001,3346605
23/08/2021,AMZN,3211.8999,3265.87012,3280.8999,3210.00488,3258058
24/08/2021,AMZN,3280,3305.78003,3315.49414,3274.58008,2548365
25/08/2021,AMZN,3309.87012,3299.17993,3321,3286.1499,1676830
26/08/2021,AMZN,3299,3316,3332,3296,2095242
27/08/2021,AMZN,3333.22998,3349.62988,3352.32007,3313.75,2395989
30/08/2021,AMZN,3357.42505,3421.57007,3445,3355.21997,3180621
31/08/2021,AMZN,3424.80005,3470.79004,3472.58008,3395.59009,4349335
2/1/2019,NFLX,259.28,267.66,269.74991,256.57999,11679228
3/1/2019,NFLX,270.20001,271.20001,275.79001,264.42999,14969547
4/1/2019,NFLX,281.88,297.57001,297.79999,278.54001,19329677
7/1/2019,NFLX,302.10001,315.34,316.79999,301.64999,18620017
8/1/2019,NFLX,319.98001,320.26999,320.59299,308.01001,15362392
9/1/2019,NFLX,317.70999,319.95999,323.3508,313.5,13336652
10/1/2019,NFLX,314.57001,324.66,325.37,312.5,13470975
11/1/2019,NFLX,330.95999,337.59,341.09,328.51999,19496129
14/01/2019,NFLX,334.23999,332.94,335.48001,329.13,10499582
15/01/2019,NFLX,349.60001,354.64001,357.22,347,21182459
16/01/2019,NFLX,354,351.39001,358.85001,348.10999,15388288
17/01/2019,NFLX,349.5,353.19,355.79001,346.41,18970470
18/01/2019,NFLX,351.97,339.10001,353,336.73001,26621268
22/01/2019,NFLX,334.89001,325.16,336.88,321.03,17941862
23/01/2019,NFLX,328.25,321.98999,331.75,318.60001,13480157
24/01/2019,NFLX,320.60001,326.67001,331.79999,319,11131627
25/01/2019,NFLX,328.72,338.04999,340,328.51001,11166009
28/01/2019,NFLX,334.70001,335.66,336.29999,328.88,8652082
29/01/2019,NFLX,335.87,328.89999,338.22,328.151,7655189
30/01/2019,NFLX,332.75,340.66,341.78,330.79999,9234842
31/01/2019,NFLX,339.67999,339.5,345.98999,338.09189,8524517
1/2/2019,NFLX,337.17999,339.85001,346.84,336.5,9827260
4/2/2019,NFLX,342.60001,351.34,352,341.29999,9051117
5/2/2019,NFLX,353.20001,355.81,360,352.89999,9052123
6/2/2019,NFLX,357,352.19,357.04001,347.19,6716764
7/2/2019,NFLX,347.89999,344.70999,348.75,339.01999,7864529
8/2/2019,NFLX,338,347.57001,348,338,7561191
11/2/2019,NFLX,350,345.73001,352.87,344.81,5454563
12/2/2019,NFLX,348.09,359.97,360,346.51999,10429400
13/02/2019,NFLX,357.29999,351.76999,359.60001,350.28,10559147
14/02/2019,NFLX,351.75,359.07001,360.45001,348.32999,9295338
15/02/2019,NFLX,358.47,356.87,364.39999,355.5,9229880
19/02/2019,NFLX,355.79999,361.92001,365,355.32001,7396381
