"date","ticker","open","close","high","low","vol","newssentiment","newsmentions","twtrmentions","twtrsentiment","wsbsentiment","wsbmentions","retailvol","instvol","retailperc","newssentimentlag1","newsmentionslag1","twtrmentionslag1","twtrsentimentlag1","wsbsentimentlag1","wsbmentionslag1","newssentimentlag2","newsmentionslag2","twtrmentionslag2","twtrsentimentlag2","wsbsentimentlag2","wsbmentionslag2","newssentimentlag4","newsmentionslag4","twtrmentionslag4","twtrsentimentlag4","wsbsentimentlag4","wsbmentionslag4","twtrmentions5MA","wsbmentions5MA","newsmentions5MA","twtrmentions10MA","wsbmentions10MA","newsmentions10MA","target"
2019-03-21,"AAPL",47.505,48.7725,49.0825,47.4525,204143972,73.5294117647059,17,1715,0.509037900874636,0.039806818,1,81573404,122563544,0.399601369566865,64,8,859,0.520372526193248,-0.085705882,1,64,4,1000,0.528,0.011791525,1,64,8,859,0.520372526193248,-0.085705882,1,1469,1,13,1331.6,0.9,9.4,73774396
2019-03-22,"AAPL",48.835,47.7625,49.4225,47.695,169623560,63,1,1083,0.392428439519852,0.080486316,1,73774396,95856268,0.434911909558993,73.5294117647059,17,1715,0.509037900874636,0.039806818,1,73.5294117647059,8,859,0.520372526193248,-0.085705882,1,73.5294117647059,17,1715,0.509037900874636,0.039806818,1,1652.2,1,16.6,1309.3,0.9,9.2,78752884
2019-03-25,"AAPL",47.8774975,47.1850025,47.995,46.6500025,175377480,63.0571428571429,35,2688,0.297247023809524,0.045023288,1,78752884,96628288,0.449038417875324,63,1,1083,0.392428439519852,0.080486316,1,63,17,1715,0.509037900874636,0.039806818,1,63,1,1083,0.392428439519852,0.080486316,1,1710.2,1,15,1309.7,1,8.8,86773664
2019-03-26,"AAPL",47.916,46.6974975,48.22,46.145,199195388,59.6363636363636,22,1916,0.235386221294363,-0.03754,1,86773664,112428488,0.435606057107255,63.0571428571429,35,2688,0.297247023809524,0.045023288,1,63.0571428571429,1,1083,0.392428439519852,0.080486316,1,63.0571428571429,35,2688,0.297247023809524,0.045023288,1,1550.4,1,11.6,1302.3,1,8.4,53288500
2019-03-27,"AAPL",47.1875,47.1175,47.4399975,46.6375,119388432,50,0,1149,0.323759791122715,0.130695238,1,53288500,66105208,0.446325865011245,59.6363636363636,22,1916,0.235386221294363,-0.03754,1,59.6363636363636,35,2688,0.297247023809524,0.045023288,1,59.6363636363636,22,1916,0.235386221294363,-0.03754,1,1513.2,1,11.4,1308.6,1,7.8,33866980
2019-03-28,"AAPL",47.2375,47.18,47.3897525,46.8825,83119244,50,0,916,0.385371179039301,-0.103871429,1,33866980,49254472,0.407439706418988,50,0,1149,0.323759791122715,0.130695238,1,50,22,1916,0.235386221294363,-0.03754,1,50,0,1149,0.323759791122715,0.130695238,1,1150.4,1,4.6,1234.2,1,6.1,32795332
2019-03-29,"AAPL",47.4575,47.4875,47.52,47.1349975,94247044,50,0,897,0.324414715719064,0.279236842,1,32795332,61460512,0.34793950813278,50,0,916,0.385371179039301,-0.103871429,1,50,0,1149,0.323759791122715,0.130695238,1,50,0,916,0.385371179039301,-0.103871429,1,952.4,1,0.2,1210.9,1,6.2,46226800
2019-04-01,"AAPL",47.91,47.8100025,47.9199975,47.095,111435948,48,1,874,0.421052631578947,0.099108824,1,46226800,65221056,0.414784112132224,50,0,897,0.324414715719064,0.279236842,1,50,0,916,0.385371179039301,-0.103871429,1,50,0,897,0.324414715719064,0.279236842,1,907,1,0.6,1052.1,1,2.7,36633816
2019-04-02,"AAPL",47.7725,48.505,48.6150025,47.7625,91166160,50,0,926,0.494600431965443,0.1341,1,36633816,54429112,0.402291215586655,48,1,874,0.421052631578947,0.099108824,1,48,0,897,0.324414715719064,0.279236842,1,48,1,874,0.421052631578947,0.099108824,1,918,1,0.6,984.6,1,1.6,37635588
2019-04-03,"AAPL",48.3125,48.8375025,49.125,48.2874975,93084120,61,2,922,0.460954446854664,-0.043166667,1,37635588,55451732,0.404304130788168,50,0,926,0.494600431965443,0.1341,1,50,1,874,0.421052631578947,0.099108824,1,50,0,926,0.494600431965443,0.1341,1,908.6,1,1,974.9,1,2.8,27428704
2019-04-04,"AAPL",48.6974975,48.9225,49.0925,48.285,77215500,50,0,971,0.49124613800206,0.022216667,1,27428704,49028396,0.358746329641067,61,2,922,0.460954446854664,-0.043166667,1,61,0,926,0.494600431965443,0.1341,1,61,2,922,0.460954446854664,-0.043166667,1,953.8,1,0.8,963.4,1,3.3,31363004
