"","date","ticker","otcvol","otcshortvol"
"2134",2020-07-22,"AMZN",1771033,669080
"2135",2020-07-22,"FB",6638683,2890378
"2136",2020-07-22,"GOOGL",538669,137496
"2137",2020-07-22,"NFLX",3378415,1441583
"2138",2020-07-23,"AAPL",84964044,31775620
"2139",2020-07-23,"AMZN",2297228,947709
"2140",2020-07-23,"FB",9230835,3466218
"2141",2020-07-23,"GOOGL",380207,211816
"2142",2020-07-23,"NFLX",3688431,1593604
"2143",2020-07-24,"AAPL",86061460,30361692
"2144",2020-07-24,"AMZN",2392747,886761
"2145",2020-07-24,"FB",8216340,2916348
"2146",2020-07-24,"GOOGL",330267,132063
"2147",2020-07-24,"NFLX",4191944,1788594
"2150",2020-07-27,"AAPL",54017280,23703424
"2151",2020-07-27,"AMZN",1859087,693905
"2152",2020-07-27,"FB",5578404,2202548
"2153",2020-07-27,"GOOGL",249081,128134
"2154",2020-07-27,"NFLX",4231694,1658645
"2155",2020-07-28,"AAPL",51254088,16301688
"2156",2020-07-28,"AMZN",1266307,511771
"2157",2020-07-28,"FB",6916559,2577794
"2158",2020-07-28,"GOOGL",383233,187790
"2159",2020-07-28,"NFLX",3414252,1584589
"2160",2020-07-29,"AAPL",42316760,18068876
"2161",2020-07-29,"AMZN",1131439,464424
"2162",2020-07-29,"FB",5844533,2227323
"2163",2020-07-29,"GOOGL",307213,174896
"2164",2020-07-29,"NFLX",3388926,1486663
"2165",2020-07-30,"AAPL",58407984,23969708
"2166",2020-07-30,"AMZN",2043542,842751
"2167",2020-07-30,"FB",6892523,2640804
"2168",2020-07-30,"GOOGL",421630,264607
"2169",2020-07-30,"NFLX",3901589,1772925
"2170",2020-07-31,"AAPL",175350980,83882876
"2171",2020-07-31,"AMZN",2725911,1211272
"2172",2020-07-31,"FB",23398621,9642946
"2173",2020-07-31,"GOOGL",1299956,560481
"2174",2020-07-31,"NFLX",2995984,1277898
"2177",2020-08-03,"AAPL",160549108,99104852
"2178",2020-08-03,"AMZN",1561019,860726
"2179",2020-08-03,"FB",10004608,3284035
"2180",2020-08-03,"GOOGL",672151,269909
"2181",2020-08-03,"NFLX",3072815,1158045
"2182",2020-08-04,"AAPL",94659728,58319756
"2183",2020-08-04,"AMZN",1729526,893962
"2184",2020-08-04,"FB",7687079,2581575
"2185",2020-08-04,"GOOGL",543584,200965
"2186",2020-08-04,"NFLX",2766191,1148459
"2187",2020-08-05,"AAPL",62736788,39106680
"2188",2020-08-05,"AMZN",1521049,710026
"2189",2020-08-05,"FB",5626173,1948613
"2190",2020-08-05,"GOOGL",365760,135728
"2191",2020-08-05,"NFLX",2124002,904440
"2192",2020-08-06,"AAPL",114755004,73061304
"2193",2020-08-06,"AMZN",1517757,788814
"2194",2020-08-06,"FB",23374506,8476198
"2195",2020-08-06,"GOOGL",495082,141794
"2196",2020-08-06,"NFLX",1477331,634009
"2197",2020-08-07,"AAPL",98386868,41489240
"2198",2020-08-07,"AMZN",1532240,829267
"2199",2020-08-07,"FB",41613157,17562111
"2200",2020-08-07,"GOOGL",487048,136733
"2201",2020-08-07,"NFLX",2691479,1245843
"2204",2020-08-10,"AAPL",119631788,50995236
"2205",2020-08-10,"AMZN",1194377,464163
"2206",2020-08-10,"FB",14981668,5859899
"2207",2020-08-10,"GOOGL",232083,73269
"2208",2020-08-10,"NFLX",2106667,906853
"2209",2020-08-11,"AAPL",89463348,36112808
