RP_ENTITY_ID,RELEVANCE,ESS,RPNA_DATE_UTC,RPNA_TIME_UTC
4A6F00,100,61,10/16/2019,31:07.4
4A6F00,100,69,10/17/2019,30:02.3
4A6F00,100,61,10/24/2019,00:26.1
4A6F00,100,49,11/1/2019,00:02.2
4A6F00,100,61,11/6/2019,45:00.4
4A6F00,100,61,11/6/2019,00:00.5
4A6F00,100,61,11/11/2019,08:00.4
4A6F00,100,61,11/11/2019,13:15.1
4A6F00,100,64,11/14/2019,00:02.1
4A6F00,100,61,11/18/2019,00:03.1
4A6F00,100,61,11/20/2019,00:27.0
4A6F00,100,61,11/20/2019,00:00.6
4A6F00,100,64,11/20/2019,00:06.6
4A6F00,100,69,11/20/2019,04:01.9
4A6F00,100,61,11/21/2019,17:34.7
4A6F00,100,43,11/26/2019,20:47.0
4A6F00,100,69,12/1/2019,50:03.5
4A6F00,100,64,12/10/2019,46:13.4
4A6F00,100,64,12/10/2019,50:13.4
4A6F00,100,64,12/16/2019,00:04.4
4A6F00,100,61,12/16/2019,00:05.7
4A6F00,100,61,12/16/2019,00:02.8
4A6F00,100,61,12/16/2019,00:02.9
4A6F00,100,61,12/16/2019,00:06.0
4A6F00,100,61,12/16/2019,01:01.9
4A6F00,100,22,12/17/2019,00:00.6
4A6F00,100,76,12/18/2019,19:24.3
4A6F00,100,61,12/19/2019,39:10.0
4A6F00,100,61,12/24/2019,22:12.5
D8442A,100,22,1/3/2019,08:47.1
D8442A,100,22,1/3/2019,00:06.7
D8442A,100,22,1/3/2019,32:20.4
D8442A,100,50,1/29/2019,30:00.7
D8442A,100,50,1/29/2019,30:00.7
D8442A,100,50,1/29/2019,30:00.7
D8442A,100,54,2/5/2019,30:00.4
D8442A,100,22,3/15/2019,21:53.0
D8442A,100,61,3/19/2019,00:00.3
D8442A,100,64,3/25/2019,51:00.3
D8442A,100,64,3/25/2019,40:00.4
D8442A,100,64,3/25/2019,06:00.3
D8442A,100,22,4/16/2019,11:00.4
D8442A,100,22,4/17/2019,05:00.3
D8442A,100,22,4/18/2019,11:00.3
D8442A,100,22,4/22/2019,30:03.6
D8442A,100,50,4/30/2019,30:01.6
D8442A,100,50,4/30/2019,30:01.6
D8442A,100,50,4/30/2019,30:01.7
D8442A,100,22,5/14/2019,40:02.0
D8442A,100,22,5/14/2019,41:16.0
