Date,Ticker,OTC_Short,OTC_Total,DPI
10/29/2020,NFLX,1902023,3777608,0.503499304
10/28/2020,NFLX,892971,2473245,0.361052383
10/27/2020,NFLX,601701,1337324,0.449929112
10/26/2020,NFLX,1100858,2433390,0.452396862
10/23/2020,NFLX,764451,2237983,0.341580343
10/22/2020,NFLX,1244166,2687678,0.462914828
10/21/2020,NFLX,3710094,7475965,0.496269579
10/20/2020,NFLX,1492476,3434365,0.434571165
10/19/2020,NFLX,1201720,3668027,0.327620271
10/16/2020,NFLX,960042,2314548,0.414785954
10/15/2020,NFLX,817413,2216846,0.368727913
10/14/2020,NFLX,1680474,4296851,0.391094315
10/13/2020,NFLX,681022,1896408,0.359111541
10/12/2020,NFLX,620602,1928086,0.321874647
10/9/2020,NFLX,812534,2038368,0.398619876
10/8/2020,NFLX,956896,2165891,0.441802473
10/7/2020,NFLX,1550029,3768609,0.411300031
10/6/2020,NFLX,759957,1672556,0.454368643
10/5/2020,NFLX,653411,1587976,0.411474103
10/2/2020,NFLX,1062129,2291818,0.463443869
10/1/2020,NFLX,1307772,3309356,0.395174167
9/30/2020,NFLX,628750,1506579,0.41733623
9/29/2020,NFLX,605939,1393334,0.434884242
9/28/2020,NFLX,735165,1772018,0.414874454
9/25/2020,NFLX,443504,1019302,0.435105592
9/24/2020,NFLX,782397,1654642,0.472849716
9/23/2020,NFLX,636826,1309184,0.486429715
9/22/2020,NFLX,546286,1308439,0.41750972
9/21/2020,NFLX,970538,2284275,0.424877915
9/18/2020,NFLX,884066,2539925,0.348067758
9/17/2020,NFLX,1033136,2292149,0.450728116
9/16/2020,NFLX,790513,1838135,0.430062536
9/15/2020,NFLX,1042391,2353287,0.442951072
9/14/2020,NFLX,1750463,4157016,0.421086424
9/11/2020,NFLX,883896,1817410,0.486349255
9/10/2020,NFLX,1008220,2095015,0.481247151
9/9/2020,NFLX,1137239,2535709,0.448489555
9/8/2020,NFLX,751829,1870581,0.401922718
9/4/2020,NFLX,1511444,3348443,0.451387107
9/3/2020,NFLX,1094863,3455000,0.31689233
9/2/2020,NFLX,783135,2158013,0.362896331
9/1/2020,NFLX,1226163,3969001,0.308934918
